Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
48,45,6,5,43,40,0,Train/14/00014_00000_00000.png
48,46,6,6,43,41,0,Train/14/00014_00000_00001.png
49,46,5,6,44,41,0,Train/14/00014_00000_00002.png
51,49,5,6,46,44,0,Train/14/00014_00000_00003.png
50,48,5,5,45,43,0,Train/14/00014_00000_00004.png
52,51,6,6,47,46,0,Train/14/00014_00000_00005.png
54,52,6,5,49,47,0,Train/14/00014_00000_00006.png
54,54,5,5,49,49,0,Train/14/00014_00000_00007.png
56,56,6,6,51,51,0,Train/14/00014_00000_00008.png
57,56,6,5,52,51,0,Train/14/00014_00000_00009.png
59,58,6,5,54,53,0,Train/14/00014_00000_00010.png
60,60,6,6,55,55,0,Train/14/00014_00000_00011.png
63,63,6,6,58,58,0,Train/14/00014_00000_00012.png
64,65,5,6,59,60,0,Train/14/00014_00000_00013.png
69,68,7,6,63,62,0,Train/14/00014_00000_00014.png
72,71,7,6,66,65,0,Train/14/00014_00000_00015.png
73,73,7,7,67,67,0,Train/14/00014_00000_00016.png
74,76,6,7,68,70,0,Train/14/00014_00000_00017.png
81,82,7,8,74,75,0,Train/14/00014_00000_00018.png
85,84,8,7,78,77,0,Train/14/00014_00000_00019.png
88,89,7,8,81,82,0,Train/14/00014_00000_00020.png
96,96,8,8,88,88,0,Train/14/00014_00000_00021.png
100,99,8,8,92,91,0,Train/14/00014_00000_00022.png
109,108,10,10,100,99,0,Train/14/00014_00000_00023.png
117,117,10,10,107,107,0,Train/14/00014_00000_00024.png
124,123,11,11,114,113,0,Train/14/00014_00000_00025.png
131,131,11,12,120,120,0,Train/14/00014_00000_00026.png
144,143,12,13,132,131,0,Train/14/00014_00000_00027.png
164,159,15,14,150,146,0,Train/14/00014_00000_00028.png
172,171,14,15,158,157,0,Train/14/00014_00000_00029.png
30,30,5,5,25,25,0,Train/14/00014_00001_00000.png
32,31,6,5,27,26,0,Train/14/00014_00001_00001.png
33,34,5,6,28,29,0,Train/14/00014_00001_00002.png
33,34,5,5,28,29,0,Train/14/00014_00001_00003.png
36,36,6,6,30,30,0,Train/14/00014_00001_00004.png
37,37,6,6,32,32,0,Train/14/00014_00001_00005.png
37,37,6,6,32,32,0,Train/14/00014_00001_00006.png
38,38,6,5,33,32,0,Train/14/00014_00001_00007.png
39,40,5,5,34,34,0,Train/14/00014_00001_00008.png
41,42,6,6,36,37,0,Train/14/00014_00001_00009.png
43,43,6,6,38,38,0,Train/14/00014_00001_00010.png
46,44,6,5,40,39,0,Train/14/00014_00001_00011.png
48,48,5,6,42,43,0,Train/14/00014_00001_00012.png
51,51,6,6,46,46,0,Train/14/00014_00001_00013.png
51,51,5,5,46,46,0,Train/14/00014_00001_00014.png
55,55,5,5,50,50,0,Train/14/00014_00001_00015.png
60,59,6,6,54,54,0,Train/14/00014_00001_00016.png
62,63,5,5,57,58,0,Train/14/00014_00001_00017.png
68,70,6,6,62,63,0,Train/14/00014_00001_00018.png
73,73,7,6,67,67,0,Train/14/00014_00001_00019.png
80,81,7,7,72,73,0,Train/14/00014_00001_00020.png
87,87,8,7,80,80,0,Train/14/00014_00001_00021.png
96,99,9,9,88,91,0,Train/14/00014_00001_00022.png
108,110,9,10,98,101,0,Train/14/00014_00001_00023.png
120,119,10,10,110,109,0,Train/14/00014_00001_00024.png
132,131,12,11,121,119,0,Train/14/00014_00001_00025.png
144,144,12,13,132,132,0,Train/14/00014_00001_00026.png
159,157,14,14,146,144,0,Train/14/00014_00001_00027.png
178,171,16,14,163,157,0,Train/14/00014_00001_00028.png
193,191,16,17,177,174,0,Train/14/00014_00001_00029.png
31,32,5,6,26,27,0,Train/14/00014_00002_00000.png
31,32,5,5,26,27,0,Train/14/00014_00002_00001.png
33,33,6,5,27,27,0,Train/14/00014_00002_00002.png
34,34,6,5,29,29,0,Train/14/00014_00002_00003.png
34,35,5,5,29,29,0,Train/14/00014_00002_00004.png
37,36,6,6,31,31,0,Train/14/00014_00002_00005.png
36,36,5,5,31,31,0,Train/14/00014_00002_00006.png
38,37,6,5,32,31,0,Train/14/00014_00002_00007.png
38,39,5,6,32,33,0,Train/14/00014_00002_00008.png
40,39,6,5,35,34,0,Train/14/00014_00002_00009.png
40,41,5,6,35,36,0,Train/14/00014_00002_00010.png
41,41,5,5,36,36,0,Train/14/00014_00002_00011.png
42,42,5,5,36,36,0,Train/14/00014_00002_00012.png
43,44,5,6,37,38,0,Train/14/00014_00002_00013.png
44,44,6,6,39,39,0,Train/14/00014_00002_00014.png
45,46,6,6,40,41,0,Train/14/00014_00002_00015.png
46,46,5,5,41,41,0,Train/14/00014_00002_00016.png
48,48,6,6,43,43,0,Train/14/00014_00002_00017.png
48,48,6,6,43,43,0,Train/14/00014_00002_00018.png
51,50,6,6,46,45,0,Train/14/00014_00002_00019.png
53,53,6,6,48,48,0,Train/14/00014_00002_00020.png
54,53,6,5,49,48,0,Train/14/00014_00002_00021.png
57,57,6,6,51,51,0,Train/14/00014_00002_00022.png
57,58,5,6,51,52,0,Train/14/00014_00002_00023.png
59,59,5,5,54,54,0,Train/14/00014_00002_00024.png
62,61,6,5,57,55,0,Train/14/00014_00002_00025.png
64,64,5,5,59,59,0,Train/14/00014_00002_00026.png
70,69,7,7,64,63,0,Train/14/00014_00002_00027.png
71,72,6,7,65,66,0,Train/14/00014_00002_00028.png
77,76,7,6,71,70,0,Train/14/00014_00002_00029.png
41,43,5,6,36,38,0,Train/14/00014_00003_00000.png
43,44,6,6,38,39,0,Train/14/00014_00003_00001.png
43,44,5,5,38,38,0,Train/14/00014_00003_00002.png
46,44,6,5,40,39,0,Train/14/00014_00003_00003.png
47,46,6,5,41,40,0,Train/14/00014_00003_00004.png
47,46,6,5,42,41,0,Train/14/00014_00003_00005.png
47,48,5,5,42,42,0,Train/14/00014_00003_00006.png
48,49,5,5,43,44,0,Train/14/00014_00003_00007.png
49,51,5,6,44,46,0,Train/14/00014_00003_00008.png
52,51,6,5,47,46,0,Train/14/00014_00003_00009.png
54,54,6,6,48,48,0,Train/14/00014_00003_00010.png
55,55,6,6,50,50,0,Train/14/00014_00003_00011.png
56,57,5,5,51,52,0,Train/14/00014_00003_00012.png
58,59,5,5,52,54,0,Train/14/00014_00003_00013.png
61,63,6,6,56,58,0,Train/14/00014_00003_00014.png
63,64,6,5,58,59,0,Train/14/00014_00003_00015.png
63,68,5,6,58,61,0,Train/14/00014_00003_00016.png
70,72,7,7,64,66,0,Train/14/00014_00003_00017.png
72,73,7,6,66,67,0,Train/14/00014_00003_00018.png
76,80,6,8,69,73,0,Train/14/00014_00003_00019.png
83,83,8,7,75,75,0,Train/14/00014_00003_00020.png
87,87,8,7,80,80,0,Train/14/00014_00003_00021.png
93,94,8,8,85,85,0,Train/14/00014_00003_00022.png
99,98,9,8,91,90,0,Train/14/00014_00003_00023.png
110,108,9,9,100,99,0,Train/14/00014_00003_00024.png
120,117,11,11,110,107,0,Train/14/00014_00003_00025.png
129,125,11,11,118,114,0,Train/14/00014_00003_00026.png
144,140,12,12,132,127,0,Train/14/00014_00003_00027.png
159,153,14,14,145,140,0,Train/14/00014_00003_00028.png
176,169,15,14,161,155,0,Train/14/00014_00003_00029.png
37,38,6,6,32,33,0,Train/14/00014_00004_00000.png
37,39,5,6,32,34,0,Train/14/00014_00004_00001.png
38,40,5,6,32,35,0,Train/14/00014_00004_00002.png
40,41,6,6,35,36,0,Train/14/00014_00004_00003.png
40,42,6,6,34,36,0,Train/14/00014_00004_00004.png
39,39,5,5,34,34,0,Train/14/00014_00004_00005.png
41,42,6,5,36,37,0,Train/14/00014_00004_00006.png
41,43,5,6,36,37,0,Train/14/00014_00004_00007.png
44,43,6,5,39,38,0,Train/14/00014_00004_00008.png
45,46,5,6,39,40,0,Train/14/00014_00004_00009.png
46,47,5,6,41,41,0,Train/14/00014_00004_00010.png
48,48,6,5,43,43,0,Train/14/00014_00004_00011.png
50,49,6,5,44,44,0,Train/14/00014_00004_00012.png
52,52,6,6,46,47,0,Train/14/00014_00004_00013.png
52,53,5,6,47,48,0,Train/14/00014_00004_00014.png
56,56,6,6,51,51,0,Train/14/00014_00004_00015.png
58,58,5,6,52,53,0,Train/14/00014_00004_00016.png
61,61,5,6,56,56,0,Train/14/00014_00004_00017.png
63,64,6,5,58,58,0,Train/14/00014_00004_00018.png
69,70,6,6,63,64,0,Train/14/00014_00004_00019.png
75,76,7,7,69,70,0,Train/14/00014_00004_00020.png
81,83,7,8,73,76,0,Train/14/00014_00004_00021.png
87,88,7,7,80,81,0,Train/14/00014_00004_00022.png
94,97,8,9,86,89,0,Train/14/00014_00004_00023.png
105,106,10,10,96,97,0,Train/14/00014_00004_00024.png
117,117,11,11,107,107,0,Train/14/00014_00004_00025.png
129,130,11,12,118,119,0,Train/14/00014_00004_00026.png
147,147,13,13,135,135,0,Train/14/00014_00004_00027.png
168,167,15,14,154,153,0,Train/14/00014_00004_00028.png
194,193,16,17,178,177,0,Train/14/00014_00004_00029.png
52,53,5,6,47,48,0,Train/14/00014_00005_00000.png
52,53,5,6,47,48,0,Train/14/00014_00005_00001.png
52,53,5,6,47,48,0,Train/14/00014_00005_00002.png
53,53,6,6,48,48,0,Train/14/00014_00005_00003.png
54,53,6,6,48,48,0,Train/14/00014_00005_00004.png
54,54,6,6,49,49,0,Train/14/00014_00005_00005.png
53,54,5,6,48,49,0,Train/14/00014_00005_00006.png
53,53,5,5,48,48,0,Train/14/00014_00005_00007.png
54,54,6,6,49,49,0,Train/14/00014_00005_00008.png
55,55,6,6,50,50,0,Train/14/00014_00005_00009.png
54,55,5,6,49,50,0,Train/14/00014_00005_00010.png
55,56,5,6,50,51,0,Train/14/00014_00005_00011.png
56,57,5,6,50,52,0,Train/14/00014_00005_00012.png
56,57,5,6,51,52,0,Train/14/00014_00005_00013.png
57,56,6,5,52,51,0,Train/14/00014_00005_00014.png
57,58,5,6,52,53,0,Train/14/00014_00005_00015.png
57,59,5,6,52,53,0,Train/14/00014_00005_00016.png
60,60,6,6,54,54,0,Train/14/00014_00005_00017.png
61,60,6,5,55,54,0,Train/14/00014_00005_00018.png
62,61,6,5,57,56,0,Train/14/00014_00005_00019.png
63,62,6,5,58,57,0,Train/14/00014_00005_00020.png
65,65,6,6,59,59,0,Train/14/00014_00005_00021.png
68,68,7,7,62,62,0,Train/14/00014_00005_00022.png
68,68,6,6,62,62,0,Train/14/00014_00005_00023.png
71,72,6,7,65,66,0,Train/14/00014_00005_00024.png
73,73,7,7,67,67,0,Train/14/00014_00005_00025.png
74,74,6,6,68,68,0,Train/14/00014_00005_00026.png
78,77,7,7,71,71,0,Train/14/00014_00005_00027.png
82,82,8,8,75,75,0,Train/14/00014_00005_00028.png
85,86,7,8,78,79,0,Train/14/00014_00005_00029.png
31,33,6,6,26,28,0,Train/14/00014_00006_00000.png
31,33,6,5,26,27,0,Train/14/00014_00006_00001.png
32,33,6,5,27,28,0,Train/14/00014_00006_00002.png
33,33,5,5,27,28,0,Train/14/00014_00006_00003.png
33,34,5,5,28,29,0,Train/14/00014_00006_00004.png
34,35,6,5,29,29,0,Train/14/00014_00006_00005.png
34,36,5,6,29,31,0,Train/14/00014_00006_00006.png
35,36,5,6,29,30,0,Train/14/00014_00006_00007.png
37,37,5,5,32,31,0,Train/14/00014_00006_00008.png
38,38,5,5,33,32,0,Train/14/00014_00006_00009.png
40,40,6,6,35,34,0,Train/14/00014_00006_00010.png
39,40,5,5,34,35,0,Train/14/00014_00006_00011.png
42,43,6,6,37,37,0,Train/14/00014_00006_00012.png
41,43,5,5,35,37,0,Train/14/00014_00006_00013.png
45,46,6,6,40,40,0,Train/14/00014_00006_00014.png
46,46,6,5,41,41,0,Train/14/00014_00006_00015.png
46,48,5,5,41,43,0,Train/14/00014_00006_00016.png
49,52,5,6,43,46,0,Train/14/00014_00006_00017.png
52,53,6,5,46,47,0,Train/14/00014_00006_00018.png
54,57,5,6,49,52,0,Train/14/00014_00006_00019.png
60,59,6,5,54,54,0,Train/14/00014_00006_00020.png
61,62,5,5,56,57,0,Train/14/00014_00006_00021.png
68,67,7,6,62,61,0,Train/14/00014_00006_00022.png
72,73,7,6,66,67,0,Train/14/00014_00006_00023.png
76,80,6,7,69,73,0,Train/14/00014_00006_00024.png
85,87,8,7,77,79,0,Train/14/00014_00006_00025.png
92,96,8,9,83,87,0,Train/14/00014_00006_00026.png
97,101,9,9,88,92,0,Train/14/00014_00006_00027.png
107,117,9,11,97,107,0,Train/14/00014_00006_00028.png
119,134,10,12,109,122,0,Train/14/00014_00006_00029.png
32,32,6,6,27,27,0,Train/14/00014_00007_00000.png
34,33,6,5,29,28,0,Train/14/00014_00007_00001.png
35,35,5,5,30,30,0,Train/14/00014_00007_00002.png
36,35,6,5,31,30,0,Train/14/00014_00007_00003.png
37,37,6,6,32,32,0,Train/14/00014_00007_00004.png
37,38,5,6,32,33,0,Train/14/00014_00007_00005.png
39,38,6,5,34,33,0,Train/14/00014_00007_00006.png
38,40,5,6,33,35,0,Train/14/00014_00007_00007.png
42,41,6,6,37,36,0,Train/14/00014_00007_00008.png
44,42,6,6,39,37,0,Train/14/00014_00007_00009.png
46,44,6,6,41,39,0,Train/14/00014_00007_00010.png
47,45,6,5,42,40,0,Train/14/00014_00007_00011.png
48,48,5,6,43,43,0,Train/14/00014_00007_00012.png
51,50,6,6,46,45,0,Train/14/00014_00007_00013.png
52,52,5,5,47,47,0,Train/14/00014_00007_00014.png
56,55,5,5,51,50,0,Train/14/00014_00007_00015.png
58,58,5,6,53,53,0,Train/14/00014_00007_00016.png
64,62,6,5,59,57,0,Train/14/00014_00007_00017.png
70,69,7,7,64,63,0,Train/14/00014_00007_00018.png
74,72,7,6,68,66,0,Train/14/00014_00007_00019.png
82,80,7,8,75,73,0,Train/14/00014_00007_00020.png
88,85,8,8,81,78,0,Train/14/00014_00007_00021.png
96,93,8,9,88,85,0,Train/14/00014_00007_00022.png
105,100,9,9,96,92,0,Train/14/00014_00007_00023.png
111,109,9,9,102,100,0,Train/14/00014_00007_00024.png
121,118,10,11,111,108,0,Train/14/00014_00007_00025.png
128,123,11,11,117,113,0,Train/14/00014_00007_00026.png
134,130,11,11,123,119,0,Train/14/00014_00007_00027.png
141,134,13,12,129,123,0,Train/14/00014_00007_00028.png
144,141,12,13,131,128,0,Train/14/00014_00007_00029.png
29,33,5,5,24,28,0,Train/14/00014_00008_00000.png
30,35,5,6,25,30,0,Train/14/00014_00008_00001.png
31,34,6,5,26,29,0,Train/14/00014_00008_00002.png
33,36,6,5,28,31,0,Train/14/00014_00008_00003.png
35,38,6,6,29,33,0,Train/14/00014_00008_00004.png
35,38,6,6,30,33,0,Train/14/00014_00008_00005.png
35,40,5,5,30,35,0,Train/14/00014_00008_00006.png
36,41,5,6,31,36,0,Train/14/00014_00008_00007.png
39,42,6,5,33,37,0,Train/14/00014_00008_00008.png
39,43,6,5,34,37,0,Train/14/00014_00008_00009.png
38,44,5,5,33,39,0,Train/14/00014_00008_00010.png
39,46,5,6,33,40,0,Train/14/00014_00008_00011.png
40,47,5,5,35,42,0,Train/14/00014_00008_00012.png
43,50,6,6,38,44,0,Train/14/00014_00008_00013.png
43,49,5,5,38,44,0,Train/14/00014_00008_00014.png
47,55,6,6,42,50,0,Train/14/00014_00008_00015.png
47,55,6,6,42,50,0,Train/14/00014_00008_00016.png
47,55,5,6,42,50,0,Train/14/00014_00008_00017.png
50,57,6,5,45,51,0,Train/14/00014_00008_00018.png
50,60,5,5,45,55,0,Train/14/00014_00008_00019.png
52,63,5,6,47,58,0,Train/14/00014_00008_00020.png
55,64,5,6,50,59,0,Train/14/00014_00008_00021.png
56,68,5,6,51,62,0,Train/14/00014_00008_00022.png
60,73,6,7,55,66,0,Train/14/00014_00008_00023.png
64,77,6,7,59,71,0,Train/14/00014_00008_00024.png
69,83,7,7,63,75,0,Train/14/00014_00008_00025.png
72,93,6,8,65,84,0,Train/14/00014_00008_00026.png
80,104,7,9,73,95,0,Train/14/00014_00008_00027.png
86,118,7,10,79,108,0,Train/14/00014_00008_00028.png
95,131,9,12,87,120,0,Train/14/00014_00008_00029.png
25,27,5,5,20,22,0,Train/14/00014_00009_00000.png
28,30,5,5,23,25,0,Train/14/00014_00009_00001.png
28,30,5,5,23,25,0,Train/14/00014_00009_00002.png
28,31,5,5,23,26,0,Train/14/00014_00009_00003.png
28,33,5,6,23,27,0,Train/14/00014_00009_00004.png
31,32,5,5,25,27,0,Train/14/00014_00009_00005.png
29,31,5,6,24,26,0,Train/14/00014_00009_00006.png
33,34,6,6,28,29,0,Train/14/00014_00009_00007.png
34,35,6,5,29,30,0,Train/14/00014_00009_00008.png
35,37,5,5,30,32,0,Train/14/00014_00009_00009.png
38,39,6,6,33,34,0,Train/14/00014_00009_00010.png
39,40,6,6,34,35,0,Train/14/00014_00009_00011.png
39,40,6,6,34,35,0,Train/14/00014_00009_00012.png
38,40,5,6,33,35,0,Train/14/00014_00009_00013.png
39,41,5,5,34,36,0,Train/14/00014_00009_00014.png
43,46,5,5,37,41,0,Train/14/00014_00009_00015.png
44,47,5,5,39,42,0,Train/14/00014_00009_00016.png
46,48,6,5,41,43,0,Train/14/00014_00009_00017.png
49,51,5,5,43,46,0,Train/14/00014_00009_00018.png
53,56,6,6,47,50,0,Train/14/00014_00009_00019.png
56,58,6,6,51,53,0,Train/14/00014_00009_00020.png
60,62,5,6,55,57,0,Train/14/00014_00009_00021.png
63,64,5,5,58,59,0,Train/14/00014_00009_00022.png
69,71,6,7,63,65,0,Train/14/00014_00009_00023.png
76,76,7,7,70,70,0,Train/14/00014_00009_00024.png
84,83,8,7,77,76,0,Train/14/00014_00009_00025.png
95,95,8,9,86,87,0,Train/14/00014_00009_00026.png
104,105,9,10,95,96,0,Train/14/00014_00009_00027.png
120,118,11,11,110,108,0,Train/14/00014_00009_00028.png
140,134,13,11,128,123,0,Train/14/00014_00009_00029.png
56,64,5,5,51,59,0,Train/14/00014_00010_00000.png
57,65,6,6,52,60,0,Train/14/00014_00010_00001.png
57,67,5,6,52,61,0,Train/14/00014_00010_00002.png
60,69,6,7,55,63,0,Train/14/00014_00010_00003.png
61,69,6,6,56,63,0,Train/14/00014_00010_00004.png
62,72,6,7,57,66,0,Train/14/00014_00010_00005.png
62,71,5,6,57,65,0,Train/14/00014_00010_00006.png
